name,days_worked
Allen County Public Library Geneaology Center,588.2948717948718
American Museum of Natural History,433.0
American Numismatic Society,1169.3333333333333
American Printing House for the Blind,1114.5
Analysis and Policy Observatory (APO),208.0
"BYU, Hawaii",250.14285714285714
"BYU, Idaho Family History Library",291.6
"BYU, Provo",2027.864406779661
Boston Public Library,573.8344827586207
British Library,682.4583333333334
Brown University,1478.857142857143
California Acaddemy of Sciences,378.0
California State Library,349.5
"Centre for Strategic and International Studies, Jakarta",419.0
Church History Library,167.32142857142858
Clatsop County Historical Society,444.4
Clemson University,336.1666666666667
Columbia University,418.70512820512823
Datum Data Co. Ltd.,271.90506329113924
Duke University,647.8888888888889
Family Search Library,578.0
Georgetown University,281.1764705882353
Getty Research Institute,295.0
Getty Research Institute Valencia Warehouse,534.7333333333333
Hamilton Public Library,44.0
Harvard,672.0
Hong Kong,100.13518518518518
Hopewell Junction,394.0
"Innodata Knowledge Services, Inc.",708.620320855615
Internet Archive Headquarters,151.10526315789474
Internet Archive Sheridan Headquarters,109.51515151515152
Internt Archive Physical Archive,138.01666666666668
John Hopkins University Library Offsite Storage,605.3333333333334
Library of Congress,432.6143790849673
National Agricultural Library,830.95
National Library of Scotland,388.0
"Natural History Museum Library, London",616.4
New York Botanical Garden,1193.0
North Carolina State University,179.42857142857142
Oberlin College Libraries,1083.0
Peabody Essex Museum,293.0
Perkins School for the Blind,572.0
Princeton University,555.3414634146342
Research Institute of Korean Studies,35.0
San Francisco Public Library,249.5
Servants of knowledge,82.5
Smithsonian Libraries and Archives,378.72
Stanford University,165.28571428571428
State Library of Pennsylvania,703.2222222222222
Staten Island Museum,299.3333333333333
The Archive of Contemporary Music,110.2089552238806
The Ohio State University,859.5
The Servants of Knowledge,364.6666666666667
Trent University,
UCLA,392.2
UIUC,454.22222222222223
UNC Chapel Hill,509.92
Universidad Francisco Marroquín,582.7333333333333
University of Alberta,504.55172413793105
University of Chinese Academy of Sciences,399.75
University of Florida,342.25
"University of Maryland, College Park",215.0
University of Pretoria,517.1
University of Toronto,553.5231316725979
University of Victoria,461.8333333333333
University of Warwick,268.0
Washington University in St. Louis,867.0
Yiddish Book Center,286.125
Zhejiang University,0.0
