,name,year,books_scanned
150,Datum Data Co. Ltd.,2009,7
151,Datum Data Co. Ltd.,2010,5711
152,Datum Data Co. Ltd.,2011,130457
153,Datum Data Co. Ltd.,2012,188766
154,Datum Data Co. Ltd.,2013,20567
155,Datum Data Co. Ltd.,2014,23726
156,Datum Data Co. Ltd.,2015,27009
157,Datum Data Co. Ltd.,2016,5615
158,Datum Data Co. Ltd.,2017,9
159,Datum Data Co. Ltd.,2019,17518
160,Datum Data Co. Ltd.,2020,24193
161,Datum Data Co. Ltd.,2021,15453
162,Datum Data Co. Ltd.,2022,22393
163,Datum Data Co. Ltd.,2023,1037
