,name,year,imagecount
360,Princeton University,2002,31881.0
361,Princeton University,2008,3560543.0
362,Princeton University,2009,2659246.0
363,Princeton University,2010,1740398.0
364,Princeton University,2011,2727667.0
365,Princeton University,2012,4479366.0
366,Princeton University,2013,3397858.0
367,Princeton University,2014,3696762.0
368,Princeton University,2015,2781748.0
369,Princeton University,2016,2950444.0
370,Princeton University,2017,1701518.0
371,Princeton University,2018,1950349.0
372,Princeton University,2019,882509.0
373,Princeton University,2020,250464.0
374,Princeton University,2021,330050.0
375,Princeton University,2022,912904.0
376,Princeton University,2023,299103.0
