,year,academic,bpo,government,hq,museum,public,total_books
0,2001,3,0,0,0,0,0,
1,2002,421,0,4,0,1,4,
2,2006,37107,0,0,25845,0,0,
3,2007,108070,0,402,45098,899,3963,
4,2008,162414,0,25163,29933,1510,35165,
5,2009,115643,11,42811,22049,1414,38515,
6,2010,120923,5714,25634,59152,784,36433,
7,2011,85211,130389,30253,24,465,44821,
8,2012,71500,188777,34341,685,282,39506,
9,2013,74593,20919,48684,64,1819,35295,
10,2014,69299,23729,56218,851,4187,25013,
11,2015,56025,27019,65036,68,5288,23909,
12,2016,56445,27100,74914,146,7240,33641,
13,2017,49630,91586,84886,8,2641,42804,
14,2018,50593,188706,70655,13,2819,23957,
15,2019,41426,371210,46106,9,3416,20970,
16,2020,20697,761020,20799,14,686,8274,
17,2021,23527,911004,20218,18,193,16010,
18,2022,55243,952013,25321,70,1144,29775,
19,2023,31066,349199,8087,29,540,10074,
