,center_type,year,books_scanned,percent
0,academic,2001,3,1.0
1,academic,2002,421,0.9790697674418605
2,academic,2006,37248,0.5895536562203229
3,academic,2007,108590,0.6830848587783859
4,academic,2008,164714,0.6397231597385398
5,academic,2009,135579,0.5618411019758652
6,academic,2010,133532,0.5104961138955473
7,academic,2011,98462,0.31954279631588856
8,academic,2012,91679,0.2504274905077986
9,academic,2013,89153,0.4514258805419966
10,academic,2014,69299,0.3724711371014555
11,academic,2015,57481,0.2953954468369392
12,academic,2016,56445,0.28055290468805916
13,academic,2017,49634,0.18161726231205794
14,academic,2018,50601,0.14946256568395494
15,academic,2019,41433,0.08560855569008764
16,academic,2020,20697,0.025492055671880773
17,academic,2021,23586,0.024264683188790468
18,academic,2022,55243,0.05191650204778991
19,academic,2023,31066,0.07779043707979116
20,archive,2009,301,0.0012473478318525395
21,archive,2010,316,0.0012080757570544361
22,archive,2011,3623,0.01175787157535358
23,archive,2012,10065,0.02749323936736868
24,archive,2013,655,0.003316590039090191
25,archive,2014,147,0.000790101692000086
26,archive,2015,315,0.0016187882213885606
27,archive,2016,1305,0.00648634140522486
28,archive,2017,1250,0.004573912598018947
29,archive,2018,388,0.0011460539413326717
30,archive,2019,769,0.0015889020666057828
31,archive,2020,342,0.000421234142135731
32,archive,2021,801,0.0008240486404740594
33,archive,2022,498,0.00046801256303602944
34,archive,2023,359,0.0008989495561593069
35,bpo,2009,11,4.5584140034478184e-05
36,bpo,2010,5714,0.021844762265218504
37,bpo,2011,130463,0.42339696365866797
38,bpo,2012,188778,0.5156600835860035
39,bpo,2013,20919,0.1059232779049278
40,bpo,2014,23729,0.12753961258142885
41,bpo,2015,27019,0.13885091731332547
42,bpo,2016,27140,0.13489601972245419
43,bpo,2017,91836,0.3360398698813344
44,bpo,2018,188706,0.5573898326111422
45,bpo,2019,371210,0.766991334388469
46,bpo,2020,761020,0.9373321837664738
47,bpo,2021,911192,0.9374113967675894
48,bpo,2022,952023,0.8946962335326303
49,bpo,2023,349199,0.8744074820648295
50,government,2002,4,0.009302325581395349
51,government,2007,402,0.0025287790149084734
52,government,2008,25163,0.09772911755224739
53,government,2009,42811,0.1774093290014587
54,government,2010,25634,0.09799941125421967
55,government,2011,30265,0.09822025482419987
56,government,2012,35093,0.09585894179027016
57,government,2013,48684,0.24651125108865168
58,government,2014,61338,0.32968202438028077
59,government,2015,79657,0.40935813762269385
60,government,2016,75196,0.3737524354845123
61,government,2017,84981,0.3109565331937985
62,government,2018,70669,0.20873836592793446
63,government,2019,46108,0.09526800583492774
64,government,2020,20799,0.025617686907254588
65,government,2021,20223,0.020804913428597884
66,government,2022,25321,0.023796277326576912
67,government,2023,8087,0.020250153372312854
68,hq,2006,25931,0.41043051598607155
69,hq,2007,45116,0.2838019752154495
70,hq,2008,30925,0.12010781545536106
71,hq,2009,22681,0.0939903527383636
72,hq,2010,59152,0.22613954804203798
73,hq,2011,25,8.113353281364601e-05
74,hq,2012,685,0.0018711245868502282
75,hq,2013,64,0.0003240637595446904
76,hq,2014,851,0.004573990067293015
77,hq,2015,69,0.0003545917056374942
78,hq,2016,146,0.0007256749771362679
79,hq,2017,8,2.927304062732126e-05
80,hq,2018,13,3.839871452918745e-05
81,hq,2019,9,1.8595732899157406e-05
82,hq,2020,14,1.724350289444513e-05
83,hq,2021,18,1.8517946976945155e-05
84,hq,2022,70,6.5784898418719e-05
85,hq,2023,30,7.512113282668303e-05
86,museum,2002,1,0.002325581395348837
87,museum,2006,1,1.5827793605571385e-05
88,museum,2007,899,0.005655155060703278
89,museum,2008,1510,0.005864601498386263
90,museum,2009,1414,0.005859634000795651
91,museum,2010,784,0.0029972512453502465
92,museum,2011,465,0.001509083710333816
93,museum,2012,282,0.0007703023846595099
94,museum,2013,1819,0.009210499665809248
95,museum,2014,4187,0.022504461118397007
96,museum,2015,5458,0.028048717816948454
97,museum,2016,7242,0.03599546701658118
98,museum,2017,2641,0.00966376253709443
99,museum,2018,2819,0.008326613558290726
100,museum,2019,3417,0.0070601799240467625
101,museum,2020,686,0.0008449316418278113
102,museum,2021,193,0.00019855354258613417
103,museum,2022,1144,0.0010751131970144934
104,museum,2023,540,0.0013521803908802944
105,public,2002,4,0.009302325581395349
106,public,2007,3963,0.024929231930552933
107,public,2008,35165,0.13657530575546553
108,public,2009,38515,0.15960665031162977
109,public,2010,36441,0.13931483754057183
110,public,2011,44831,0.14549189638274257
111,public,2012,39508,0.10791881777704936
112,public,2013,36198,0.18328843699997974
113,public,2014,26501,0.14243867305914476
114,public,2015,24591,0.12637340048306697
115,public,2016,33718,0.16759115670603206
116,public,2017,42939,0.15711938643706846
117,public,2018,25357,0.07489816956281586
118,public,2019,21036,0.04346442636296391
119,public,2020,8342,0.010274664367532948
120,public,2021,16017,0.016477886484985032
121,public,2022,29775,0.02798207643453369
122,public,2023,10074,0.02522567640320016
