,index,name,month_year,identifier
0,0,1 Dollar Scan,NaT,20
1,182,Allen County Public Library Geneaology Center,NaT,3796
2,281,American Numismatic Society,NaT,1
3,329,American Printing House for the Blind,NaT,1
4,369,"BYU, Hawaii",NaT,7
5,428,"BYU, Idaho Family History Library",NaT,14
6,596,"BYU, Provo",NaT,9163
7,597,BookScanUS,NaT,42
8,792,Boston Public Library,NaT,6329
9,900,British Library,NaT,192
10,1056,Brown University,NaT,12
11,1062,California Acaddemy of Sciences,NaT,1
12,1106,California State Library,NaT,1
13,1152,Church History Library,NaT,3190
14,1197,Clatsop County Historical Society,NaT,2
15,1230,Clemson University,NaT,136
16,1283,Columbia University,NaT,67
17,1416,Datum Data Co. Ltd.,NaT,475
18,1575,Duke University,NaT,63
19,1663,Georgetown University,NaT,9
20,1674,Getty Research Institute,NaT,1
21,1777,Getty Research Institute Valencia Warehouse,NaT,8
22,1781,Hamilton Public Library,NaT,1
23,1838,Harvard,NaT,1
24,1905,Hong Kong,NaT,194
25,1967,"Innodata Knowledge Services, Inc.",NaT,2167191
26,1968,International Institute of Information Technology Hyderabad,NaT,8322
27,2012,Internet Archive Headquarters,NaT,147
28,2069,Internet Archive Sheridan Headquarters,NaT,148
29,2136,Internt Archive Physical Archive,NaT,307
30,2169,John Hopkins University Library Offsite Storage,NaT,14
31,2318,Library of Congress,NaT,236
32,2442,National Agricultural Library,NaT,146
33,2509,National Library of Scotland,NaT,30
34,2664,"Natural History Museum Library, London",NaT,9
35,2700,North Carolina State University,NaT,1
36,2772,Oberlin College Libraries,NaT,2
37,2773,Osmania University,NaT,2522
38,2777,Peabody Essex Museum,NaT,1
39,2808,Press Academy of Andhra Pradesh,NaT,4150
40,2991,Princeton University,NaT,133
41,2992,"Regional Mega Scanning Center by IIT, Hyderbad",NaT,12555
42,3067,San Francisco Public Library,NaT,15
43,3074,Servants of knowledge,NaT,1
44,3234,Smithsonian Libraries and Archives,NaT,2
45,3242,Stanford University,NaT,1
46,3325,State Library of Pennsylvania,NaT,42
47,3341,Staten Island Museum,NaT,1
48,3408,The Archive of Contemporary Music,NaT,28
49,3463,The Ohio State University,NaT,100
50,3511,The Servants of Knowledge,NaT,526
51,3512,Trent University,NaT,2
52,3700,UCLA,NaT,12
53,3897,UIUC,NaT,3718
54,4052,UNC Chapel Hill,NaT,130
55,4201,Universidad Francisco Marroquín,NaT,110
56,4374,University of Alberta,NaT,260
57,4390,University of Chinese Academy of Sciences,NaT,5
58,4391,University of Connecticut,NaT,262
59,4442,University of Florida,NaT,1
60,4458,"University of Maryland, College Park",NaT,1
61,4508,University of Pretoria,NaT,40
62,4708,University of Toronto,NaT,9092
63,4785,University of Victoria,NaT,1
64,4814,University of Warwick,NaT,1
65,4902,Washington University in St. Louis,NaT,3
66,4927,Yiddish Book Center,NaT,146
